Dark Night of the Wise,Increased Maximum FP,FP Restoration upon Successive Attacks,Max FP permanently increased after releasing Sorcerer's Rise mechanism
Grand Drizzly Scene,Improved Initial Standard Attack,Arcane +1,Ultimate Art Gauge +3
Grand Drizzly Scene,Improved Dragon Communion Incantations,Changes compatible armament's skill to Hoarfrost Stomp at start of expedition,Critical Hits Earn Runes
Grand Tranquil Scene,{Ironeye] +1 additional Character Skill use,Improved Fundamentalist Incantations,Changes compatible armament’s skill to Flaming Strike at start of expedition
Polished Drizzly Scene,{Ironeye] Extends duration of weak point,Holy Damage Negation Up,
Polished Luminous Scene,FP Restoration upon Flail Attacks,Partial HP Restoration upon Post-Damage Attacks,
Grand Luminous Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Poise +2,Magic Attack Power Up +2
Grand Burning Scene,Improved Axe Attack Power,Slowly restore HP for self and nearby allies when HP is low,Faith +3
Grand Tranquil Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Improved Fist Attack Power,Items confer effect to all nearby allies
Grand Luminous Scene,Holy Attack Power Up,Improved Blood Loss Resistance,Improved Frost Resistance
Polished Drizzly Scene,Starting armament deals holy damage,Magic Attack Power Up +1,
Polished Tranquil Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,HP Restoration upon Heavy Thrusting Sword Attacks,
Grand Burning Scene,Max HP Up with 3+ Greatshields Equipped,HP Restoration upon Colossal Sword Attacks,Starting armament inflicts frost
Polished Burning Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,FP Restoration upon Colossal Sword Attacks,
Grand Burning Scene,{Executor] Roaring restores HP while Art is active,Changes compatible armament's skill to Lightning Slash at start of expedition,Endurance +3
Polished Burning Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Vigor +1,
Polished Burning Scene,Starting armament inflicts frost,Physical Attack Up,
Grand Burning Scene,Improved Stance-Breaking when Two-Handing,Changes compatible armament’s skill to Endure at start of expedition,Attack power up when facing scarlet rot-afflicted enemy
Grand Burning Scene,HP Restoration upon Katana Attacks,FP Restoration upon Greataxe Attacks,Ultimate Art Gauge +1
Polished Drizzly Scene,Changes compatible armament’s skill to Determination at start of expedition,Dexterity +1,
Polished Burning Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Treasure marked upon map,
Grand Luminous Scene,Partial HP Restoration upon Post-Damage Attacks,Attack power up when facing frostbite-afflicted enemy,Arcane +1
Polished Drizzly Scene,{Guardian] Creates whirlwind when charging halberd attacks,Poise +1,
Polished Burning Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Max FP permanently increased after releasing Sorcerer's Rise mechanism,
Grand Burning Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Changes compatible armament’s skill to Quickstep at start of expedition,Magic Attack Power Up +2
Polished Luminous Scene,{Wylder] Art gauge greatly filled when ability is activated,FP Restoration upon Curved Greatsword Attacks,
Grand Burning Scene,Improved Spear Attack Power,Ultimate Art Gauge +3,Improved Frost Resistance
Grand Burning Scene,{Guardian] Increased duration for Character Skill,HP Restoration upon Great Hammer Attacks,Improved Throwing Knife Damage
Polished Tranquil Scene,Improved Greataxe Attack Power,Draw enemy attention while guarding,
Polished Luminous Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Art gauge charged from successful guarding,
Grand Burning Scene,Glintstone Scraps in possession at start of expedition,Changes compatible armament’s skill to Thunderbolt at start of expedition,Endurance +2
Grand Burning Scene,{Recluse} Collecting affinity residue activates Terra Magica,Partial HP Restoration upon Post-Damage Attacks,Changes compatible armament’s skill to Seppuku at start of expedition
Polished Burning Scene,Changes compatible armament's skill to Prayerful Strike at start of expedition,Lightning Attack Power Up,
Polished Burning Scene,Improved Critical Hits,Starting armament deals lightning damage,
Grand Luminous Scene,Starting armament deals fire damage,Intelligence +2,Fire Attack Power Up +1
Polished Burning Scene,"Raised stamina recovery for nearby allies, but not for self",Arcane +3,
Polished Burning Scene,Art gauge fills moderately upon critical hit,Starlight Shards in possession at start of expedition,
Grand Burning Scene,FP Restoration upon Thrusting Sword Attacks,Strength +1,Physical Attack Up +2
Polished Luminous Scene,{Executor] Roaring restores HP while Art is active,Ultimate Art Gauge +1,
Polished Burning Scene,Improved Roar & Breath Attacks,Vigor +2,
Polished Luminous Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Changes compatible armament's skill to Gravitas at start of expedition,
Polished Tranquil Scene,Mind +2,Fire Attack Power Up +2,
Grand Burning Scene,{Ironeye] Extends duration of weak point,Attack power up when facing frostbite-afflicted enemy,Poise +1
Grand Luminous Scene,Attack power up after defeating a Night Invader,Treasure marked upon map,Character Skill Cooldown Reduction +1
Grand Burning Scene,Improved Throwing Pot Damage,Changes compatible armament's skill to Chilling Mist at start of expedition,Vigor +2
Polished Tranquil Scene,Starting armament inflicts poison,Ultimate Art Gauge +2,
Polished Luminous Scene,FP Restoration upon Heavy Thrusting Sword Attacks,Rune discount for shop purchases while on expedition,
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Gravity Stone Chunks in possession at start of expedition,Magic Attack Power Up
Grand Luminous Scene,Strength +2,Intelligence +1,Holy Attack Power Up +1
Grand Burning Scene,Improved Axe Attack Power,Art gauge charged from successful guarding,Faith +1
Grand Burning Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,FP Restoration upon Greataxe Attacks,Improved Rot Resistance
Polished Tranquil Scene,Improved Fundamentalist Incantations,Magic Attack Power Up,
Polished Burning Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Gravity Stone Chunks in possession at start of expedition,
Grand Luminous Scene,{Ironeye] +1 additional Character Skill use,Improved Spear Attack Power,Intelligence +1
Grand Burning Scene,Improved Dagger Attack Power,FP Restoration upon Greatsword Attacks,Poise +2
Polished Burning Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Improved Initial Standard Attack,
Grand Burning Scene,{Guardian] Reflect a portion of damage received when ability is activated,Improved Attack Power with 3+ Curved Greatswords Equipped,Faith +3
Polished Tranquil Scene,Attack power increases after using grease items,Increased rune acquisition for self and allies,
Polished Burning Scene,{Ironeye] Extends duration of weak point,Mind +1,
Grand Burning Scene,Vigor +1,Character Skill Cooldown Reduction +1,Holy Attack Power Up +1
Grand Burning Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Improved Throwing Pot Damage,Vigor +3
Polished Luminous Scene,HP Recovery From Successful Guarding,Improved Halberd Attack Power,
Polished Drizzly Scene,Attack power permanently increased for each evergaol prisoner defeated,Rune discount for shop purchases while on expedition,
Grand Drizzly Scene,{Revenant] Power up while fighting alongside family,Intelligence +3,Character Skill Cooldown Reduction +1
Grand Burning Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Items confer effect to all nearby allies,Mind +2
Grand Burning Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,Treasure marked upon map,Attack power up when facing frostbite-afflicted enemy
Grand Burning Scene,{Duchess] Defeating enemies while Art is active ups attack power,Improved Glintblade Sorcery,Shield Grease in possession at start of expedition
Grand Luminous Scene,Stamina recovers with each successful attack,Mind +2,Intelligence +3
Grand Burning Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Faith +2,Physical Attack Up +1
Polished Luminous Scene,Faith +3,Character Skill Cooldown Reduction +3,
Polished Drizzly Scene,Intelligence +1,Character Skill Cooldown Reduction +2,
Grand Burning Scene,Improved Attack Power with 3+ Fists Equipped,Starting armament deals lightning damage,Changes compatible armament’s skill to Eruption at start of expedition
Grand Burning Scene,Flask Also Heals Allies,Attack power permanently increased for each evergaol prisoner defeated,Changes compatible armament’s skill to Eruption at start of expedition
Polished Burning Scene,Guard countet is given a boost based on current HP,Strength +3,
Grand Tranquil Scene,Faith +1,Ultimate Art Gauge +3,Holy Damage Negation Up
Polished Burning Scene,HP Restoration upon Claw Attacks,Faith +1,
Polished Luminous Scene,Taking attacks improves attack power,Vigor +3,
Polished Burning Scene,Fire Attack Power Up +2,Improved Poison Resistance,
Grand Burning Scene,Starting armament deals fire damage,Changes compatible armament's skill to Flaming Strike at start of expedition,Physical Attack Up +2
Grand Burning Scene,Improved Poise Near Totem Stela,HP Recovery From Successful Guarding,Ultimate Art Gauge +3
Grand Burning Scene,Improved Poise Near Totem Stela,Changes compatible armament's skill to Prayerful Strike at start of expedition,Critical Hits Earn Runes
Polished Drizzly Scene,Improved Godslayer Incantations,Mind +1,
Grand Burning Scene,Improved Poise Near Totem Stela,Changes compatible armament’s skill to Glintblade Phalanx at start of expedition,Faith +2
Grand Burning Scene,Attack power up after defeating a Night Invader,Lightning Grease in possession at start of expedition,Improved Frost Resistance
Grand Tranquil Scene,Improved Stonedigger Sorcery,Fire Pots in possession at start of expedition,Arcane +2
Polished Burning Scene,Vigor +3,Dexterity +1,
Grand Burning Scene,Improved Frenzied Flame Incantations,Changes compatible armament's skill to Flaming Strike at start of expedition,Endurance +1
Grand Burning Scene,Character Skill Cooldown Reduction +1,Magic Attack Power Up +1,Magic Damage Negation Up
Grand Burning Scene,Improved Frenzied Flame Incantations,Stamina recovers with each successful attack,Physical Attack Up
Grand Drizzly Scene,FP Restoration upon Straight Sword Attacks,Faith +3,Holy Attack Power Up +2
Polished Burning Scene,"HP restored when using cured meats, medicinal boluses, etc.",Improved Dragon Communion Incantations,
Grand Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Defeating enemies restores HP for allies but not for self,Wraith Calling Bell in possession at start of expedition
Grand Burning Scene,{Guardian] Creates whirlwind when charging halberd attacks,Throwing Daggers in possession at start of expedition,Fire Attack Power Up +2
Polished Drizzly Scene,FP Restoration upon Fist Attacks,Improved Stance-Breaking when Two-Handing,
Grand Drizzly Scene,Flask Also Heals Allies,Vigor +1,Physical Attack Up +1
Grand Burning Scene,{Duchess] Improved Character Skill Attack Power,Items confer effect to all nearby allies,Increased rune acquisition for self and allies
Grand Drizzly Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Flask Also Heals Allies,Guard counter is given a boost based on current HP
Polished Tranquil Scene,Magic Pots in possession at start of expedition,Vigor +3,
Polished Luminous Scene,Crystal Darts in possession at start of expedition,Character Skill Cooldown Reduction +2,
Grand Drizzly Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Improved Straight Sword Attack Power,Starting armament inflicts poison
Grand Luminous Scene,{Duchess] Defeating enemies while Art is active ups attack power,Improved Colossal Weapon Attack Power,Improved Blood Loss Resistance
Grand Burning Scene,Improved Attack Power with 3+ Axes Equipped,Stonesword Key in possession at start of expedition,Endurance +1
Grand Burning Scene,Dexterity +1,Faith +3,Arcane +3
Polished Luminous Scene,HP Restoration upon Bow Attacks,Increased rune acquisition for self and allies,
Polished Luminous Scene,Improved Thorn Sorcery,Magic Attack Power Up +2,
Grand Luminous Scene,{Recluse} Activating Ultimate Art raises Max HP,Improved Attack Power with 3+ Halberds Equipped,Arcane +1
Grand Tranquil Scene,{Revenant] Power up while fighting alongside family,Taking attacks improves attack power,Vigor +3
Polished Drizzly Scene,Changes compatible armament’s skill to Hoarfrost Stomp at start of expedition,Holy Attack Power Up +1,
Grand Burning Scene,Starting armament deals fire damage,Mind +1,Intelligence +3
Polished Luminous Scene,Improved Critical Hits,Changes compatible armament's skill to Chilling Mist at start of expedition,
Polished Burning Scene,Changes compatible armament's skill to Gravitas at start of expedition,Fire Damage Negation Up,
Grand Burning Scene,Improved Damage Negation at Low HP,Increased rune acquisition for self and allies,Magic Attack Power Up
Polished Burning Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Guard counter is given a boost based on current HP,
Polished Burning Scene,{Guardian] Creates whirlwind when charging halberd attacks,Lightning Attack Power Up +2,
Polished Drizzly Scene,Flask Also Heals Allies,Starting armament deals lightning damage,
Dark Night of the Champion,Increased Maximum Stamina,Boosts Attack Power of Added Affinity Attacks,Defeating enemies fills more of the Art gauge
Grand Burning Scene,Endurance +3,Arcane +1,Improved Madness Resistance
Grand Burning Scene,Lightning Pots in possession at start of expedition,Magic Grease in possession at start of expedition,Arcane +2
Polished Luminous Scene,Improved Poise Near Totem Stela,Improved Great Spear Attack Power,
Polished Luminous Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Starting armament deals holy damage,
Grand Burning Scene,Items confer effect to all nearby allies,Faith +3,Holy Damage Negation Up
Polished Burning Scene,Partial HP Restoration upon Post-Damage Attacks,Taking attacks improves attack power,
Polished Burning Scene,{Revenant] Power up while fighting alongside family,FP Restoration upon Axe Attacks,
Polished Burning Scene,Ultimate Art Gauge +1,Fire Damage Negation Up,
Polished Drizzly Scene,Stonesword Key in possession at start of expedition,Changes compatible armament's skill to Poisonous Mist at start of expedition,
Grand Drizzly Scene,{Wylder] +1 additional Character Skill use,HP Restoration upon Curved Sword Attacks,Dexterity +1
Grand Drizzly Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Starting armament inflicts poison,Changes compatible armament’s skill to Determination at start of expedition
Polished Drizzly Scene,Taking attacks improves attack power,Ultimate Art Gauge +1,
Grand Burning Scene,Improved Damage Negation at Low HP,Improved Critical Hits,Magic Pots in possession at start of expedition
Polished Burning Scene,{Wylder] Art gauge greatly filled when ability is activated,Taking attacks improves attack power,
Polished Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Fire Pots in possession at start of expedition,
Polished Drizzly Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Character Skill Cooldown Reduction +2,
Grand Luminous Scene,FP Restoration upon Straight Sword Attacks,Strength +3,Lightning Attack Power Up +2
Polished Luminous Scene,Items confer effect to all nearby allies,Lightning Damage Negation Up,
Grand Tranquil Scene,Lightning Grease in possession at start of expedition,Strength +1,Holy Damage Negation Up
Grand Luminous Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Taking attacks improves attack power,Changes compatible armament’s skill to Poisonous Mist at start of expedition
Polished Luminous Scene,Improved Poise & Damage Negation When Knocked Back by Damage,Mind +3,
Polished Drizzly Scene,{Ironeye] Extends duration of weak point,Defeating enemies fills more of the Art gauge,
Grand Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Slowly restore HP for self and nearby allies when HP is low,Changes compatible armament’s skill to Rain of Arrows at start of expedition
Grand Tranquil Scene,Strength +3,Poise +1,Lightning Attack Power Up +2
Grand Tranquil Scene,{Recluse} Activating Ultimate Art raises Max HP,HP Restoration upon Curved Sword Attacks,Changes compatible armament’s skill to Endure at start of expedition
Polished Luminous Scene,Improved Giants’ Flame Incantations,Arcane +2,
Grand Burning Scene,Improved Damage Negation at Low HP,Improved Fundamentalist Incantations,Changes compatible armament’s skill to Poison Moth Flight at start of expedition
Grand Burning Scene,Partial HP Restoration upon Post-Damage Attacks,Slowly restore HP for self and nearby allies when HP is low,Endurance +2
Polished Tranquil Scene,Vigor +2,Strength +3,
Polished Burning Scene,Taking attacks improves attack power,Throwing Daggers in possession at start of expedition,
Grand Tranquil Scene,Increased rune acquisition for self and allies,Holy Water Pots in possession at start of expedition,Changes compatible armament’s skill to Poison Moth Flight at start of expedition
Grand Luminous Scene,{Guardian] Increased duration for Character Skill,Improved Carian Sword Sorcery,Starting armament deals fire damage
Polished Luminous Scene,Intelligence +1,Faith +3,
Polished Burning Scene,Stamina recovers with each successful attack,Arcane +2,
Grand Drizzly Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Improved Attack Power with 3+ Hammers Equipped,Changes compatible armament’s skill to Flaming Strike at start of expedition
Polished Luminous Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Fire Attack Power Up +1,
Polished Drizzly Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Improved Stance-Breaking when Two-Handing,
Grand Drizzly Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Holy Attack Power Up,Holy Damage Negation Up
Polished Luminous Scene,Flask Also Heals Allies,Dexterity +3,
Polished Drizzly Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Improved Death Blight Resistance,
Grand Drizzly Scene,Items confer effect to all nearby allies,Starting armament deals lightning damage,Holy Attack Power Up +2
Polished Burning Scene,{Duchess] Improved Character Skill Attack Power,Changes compatible armament’s skill to Seppuku at start of expedition,
Polished Luminous Scene,Improved Invisibility Sorcery,Attack power up when facing scarlet rot-afflicted enemy,
Grand Burning Scene,{Raider] Duration of Ultimate Art extended,Improved Frenzied Flame Incantations,Holy Attack Power Up +1
Polished Burning Scene,HP Restoration upon Straight Sword Attacks,Improved Throwing Stone Damage,
Grand Tranquil Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Arcane +3,Ultimate Art Gauge +1
Polished Luminous Scene,Taking attacks improves attack power,Changes compatible armament's skill to Determination at start of expedition,
Polished Tranquil Scene,Poise +2,Fire Attack Power Up,
Grand Burning Scene,Improved Stance-Breaking when Two-Handing,Changes compatible armament's skill to Rain of Arrows at start of expedition,Faith +2
Polished Luminous Scene,Attack power permanently increased for each evergaol prisoner defeated,Ultimate Art Gauge +2,
Polished Drizzly Scene,"Raised stamina recovery for nearby allies, but not for self",Endurance +2,
Polished Burning Scene,Improved Frenzied Flame Incantations,Fire Attack Power Up,
Grand Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Changes compatible armament's skill to Hoarfrost Stomp at start of expedition,Strength +2
Polished Tranquil Scene,{Recluse} Collecting affinity residue activates Terra Magica,HP Restoration upon Twinblade Attacks,
Grand Tranquil Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Changes compatible armament’s skill to Poison Moth Flight at start of expedition,Endurance +2
Polished Burning Scene,{Wylder] +1 additional Character Skill use,Faith +3,
Polished Luminous Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Stamina recovers with each successful attack,
Grand Tranquil Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Improved Damage Negation at Low HP,Faith +3
Polished Tranquil Scene,Strength +3,Improved Poison Resistance,
Grand Tranquil Scene,Starting armament deals fire damage,Intelligence +2,Magic Attack Power Up
Polished Burning Scene,Improved Fundamentalist Incantations,Improved Sleep Resistance,
Polished Tranquil Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Intelligence +1,
Grand Luminous Scene,Improved Carian Sword Sorcery,Changes compatible armament’s skill to Seppuku at start of expedition,Ultimate Art Gauge +3
Grand Tranquil Scene,Art gauge fills moderately upon critical hit,Attack power increases after using grease items,Small Pouch in possession at start of expedition
Grand Drizzly Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Starting armament inflicts poison,Lightning Attack Power Up
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Lightning Pots in possession at start of expedition,Physical Attack Up +2
Polished Luminous Scene,FP Restoration upon Great Hammer Attacks,Guard counter is given a boost based on current HP,
Polished Burning Scene,Draw enemy attention while guarding,Wraith Calling Bell in possession at start of expedition,
Polished Drizzly Scene,{Recluse} Collecting affinity residue activates Terra Magica,Magic Attack Power Up +1,
Grand Luminous Scene,Improved Roar & Breath Attacks,Poisonbone Darts in possession at start of expedition,Changes compatible armament’s skill to Quickstep at start of expedition
Polished Drizzly Scene,Max HP Up with 3+ Greatshields Equipped,Improved Damage Negation at Low HP,
Polished Tranquil Scene,Changes compatible armament's skill to Rain of Arrows at start of expedition,Character Skill Cooldown Reduction +3,
Polished Drizzly Scene,Improved Stonedigger Sorcery,Faith +3,
Polished Burning Scene,Dexterity +1,Holy Attack Power Up +1,
Polished Luminous Scene,Improved Throwing Knife Damage,Mind +3,
Grand Tranquil Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Attack power up when facing poison-afflicted enemy,Vigor +3
Grand Burning Scene,Improved Poise Near Totem Stela,Improved Glintblade Sorcery,Crystal Darts in possession at start of expedition
Polished Drizzly Scene,{Revenant] Power up while fighting alongside family,Art gauge fills moderately upon critical hit,
Grand Tranquil Scene,Improved Colossal Weapon Attack Power,HP Restoration upon Katana Attacks,Stonesword Key in possession at start of expedition
Polished Tranquil Scene,{Executor] Roaring restores HP while Art is active,Vigor +2,
Polished Tranquil Scene,HP Restoration upon Great Spear Attacks,Faith +1,
Grand Drizzly Scene,Improved Fundamentalist Incantations,Character Skill Cooldown Reduction +3,Holy Attack Power Up
Polished Drizzly Scene,{Ironeye] Extends duration of weak point,Improved Guard Counters,
Grand Burning Scene,"Raised stamina recovery for nearby allies, but not for self",Changes compatible armament's skill to Storm Stomp at start of expedition,Holy Attack Power Up +2
Polished Tranquil Scene,Improved Stonedigger Sorcery,Attack power up when facing frostbite-afflicted enemy,
Polished Luminous Scene,Improved Godslayer Incantations,Endurance +3,
Grand Burning Scene,Improved Throwing Pot Damage,Dexterity +3,Character Skill Cooldown Reduction +3
Polished Drizzly Scene,Art gauge fills moderately upon critical hit,Dexterity +2,
Polished Luminous Scene,{Ironeye] +1 additional Character Skill use,Improved Fundamentalist Incantations,
Grand Tranquil Scene,Shield Grease in possession at start of expedition,Improved Blood Loss Resistance,Improved Rot Resistance
Polished Burning Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Faith +3,
Polished Drizzly Scene,Items confer effect to all nearby allies,Faith +2,
Grand Burning Scene,Ultimate Art Gauge +1,Poise +1,Fire Attack Power Up
Polished Tranquil Scene,HP Restoration upon Thrusting Counterattack,Faith +1,
Polished Burning Scene,Endurance +1,Intelligence +3,
Grand Luminous Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Intelligence +2,Ultimate Art Gauge +1
Polished Burning Scene,Changes compatible armament’s skill to Quickstep at start of expedition,Ultimate Art Gauge +3,
Polished Luminous Scene,Improved Gravity Sorcery,Arcane +1,
Grand Luminous Scene,Improved Gravity Sorcery,Max FP permanently increased after releasing Sorcerer's Rise mechanism,Ultimate Art Gauge +2
Polished Drizzly Scene,Changes compatible armament's skill to Sacred Blade at start of expedition,Rune discount for shop purchases while on expedition,
Grand Tranquil Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,Improved Halberd Attack Power,Mind +2
Polished Drizzly Scene,HP Restoration upon Dagger Attacks,Defeating enemies restores HP for allies but not for self,
Polished Luminous Scene,Improved Attack Power with 3+ Fists Equipped,Improved Blood Loss Resistance,
Grand Luminous Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,FP Restoration upon Heavy Thrusting Sword Attacks,Improved Throwing Knife Damage
Polished Burning Scene,Art gauge charged from successful guarding,Changes compatible armament's skill to Determination at start of expedition,
